50,3,42,5
100,5,38,7
150,4,37,9
200,7,38,5
250,4,36,10
300,7,27,16
350,3,37,10
400,5,32,13
450,1,38,11
500,2,35,13
550,4,21,25
600,5,25,20
650,5,27,18
700,7,28,15
750,2,25,23
800,4,23,23
850,5,21,24
900,4,28,18
950,4,21,25
1000,8,20,22
1050,4,20,26
1100,5,20,25
1150,4,21,25
1200,7,12,31
1250,5,17,28
1300,1,18,31
1350,7,12,31
1400,7,11,32
1450,10,9,31
1500,8,10,32
1550,3,9,38
1600,10,8,32
1650,4,6,40
1700,3,11,36
1750,8,9,33
1800,5,16,29
1850,5,11,34
1900,5,19,26
1950,9,14,27
2000,3,15,32
2050,5,10,35
2100,5,12,33
2150,8,10,32
2200,5,10,35
2250,4,10,36
2300,4,9,37
2350,2,7,41
2400,4,11,35
2450,1,13,36
2500,6,9,35
2550,5,10,35
2600,3,9,38
2650,6,9,35
2700,0,12,38
2750,3,6,41
2800,8,9,33
2850,5,12,33
2900,4,12,34
2950,8,8,34
3000,5,4,41
3050,6,10,34
3100,4,10,36
3150,8,9,33
3200,6,5,39
3250,7,6,37
3300,11,6,33
3350,5,6,39
3400,9,9,32
3450,9,7,34
3500,3,5,42
3550,8,9,33
3600,6,11,33
3650,7,8,35
3700,6,7,37
3750,8,7,35
3800,6,7,37
3850,3,3,44
3900,6,12,32
3950,9,4,37
4000,4,4,42
4050,7,6,37
4100,8,5,37
4150,6,6,38
4200,8,9,33
4250,6,5,39
4300,6,4,40
4350,9,4,37
4400,8,9,33
4450,8,4,38
4500,7,8,35
4550,4,6,40
4600,7,2,41
4650,8,5,37
4700,6,5,39
4750,3,5,42
4800,3,5,42
4850,5,6,39
4900,11,10,29
4950,11,4,35
5000,6,10,34
5050,5,6,39
5100,6,7,37
5150,8,4,38
5200,12,4,34
5250,7,3,40
5300,6,5,39
5350,11,4,35
5400,12,2,36
5450,7,3,40
5500,2,5,43
5550,7,5,38
5600,3,5,42
5650,8,6,36
5700,6,6,38
5750,5,3,42
5800,3,4,43
5850,8,7,35
5900,7,8,35
5950,8,8,34
6000,3,6,41
6050,3,4,43
6100,7,8,35
6150,5,3,42
6200,5,6,39
6250,6,9,35
6300,13,6,31
6350,2,9,39
6400,6,6,38
6450,4,4,42
6500,10,3,37
6550,4,8,38
6600,6,2,42
6650,7,5,38
6700,6,4,40
6750,5,6,39
6800,7,11,32
6850,6,3,41
6900,8,4,38
6950,6,8,36
7000,11,3,36
7050,5,7,38
7100,8,1,41
7150,5,1,44
7200,10,4,36
7250,8,5,37
7300,7,3,40
7350,7,5,38
7400,7,5,38
7450,4,4,42
7500,11,1,38
7550,8,4,38
7600,4,7,39
7650,10,3,37
7700,11,6,33
7750,7,3,40
7800,7,2,41
7850,6,6,38
7900,9,5,36
7950,7,4,39
8000,10,4,36
8050,4,9,37
8100,6,5,39
8150,10,4,36
8200,2,7,41
8250,5,4,41
8300,8,1,41
8350,10,2,38
8400,5,5,40
8450,4,2,44
8500,2,3,45
8550,7,3,40
8600,8,2,40
8650,7,5,38
8700,3,5,42
8750,7,3,40
8800,8,4,38
8850,6,3,41
8900,7,4,39
8950,6,0,44
9000,5,8,37
9050,4,4,42
9100,4,7,39
9150,3,7,40
9200,6,5,39
9250,11,3,36
9300,3,3,44
9350,9,4,37
9400,12,4,34
9450,9,0,41
9500,11,2,37
9550,7,0,43
9600,1,2,47
9650,7,0,43
9700,8,3,39
9750,5,3,42
9800,10,1,39
9850,7,3,40
9900,7,6,37
9950,10,1,39
10000,6,1,43
10050,5,4,41
10100,7,4,39
10150,10,4,36
10200,9,2,39
10250,4,3,43
10300,11,3,36
10350,6,3,41
10400,4,3,43
10450,6,5,39
10500,8,4,38
10550,6,3,41
10600,8,5,37
10650,7,4,39
10700,9,2,39
10750,7,2,41
10800,9,0,41
10850,11,2,37
10900,4,1,45
10950,6,4,40
11000,6,1,43
11050,8,4,38
11100,5,2,43
11150,9,1,40
11200,7,4,39
11250,6,7,37
11300,8,2,40
11350,6,5,39
11400,9,5,36
11450,8,3,39
11500,10,0,40
11550,9,3,38
11600,12,2,36
11650,11,0,39
11700,6,1,43
11750,10,5,35
11800,13,4,33
11850,6,4,40
11900,5,5,40
11950,5,1,44
12000,12,3,35
12050,11,3,36
12100,6,3,41
12150,5,2,43
12200,10,4,36
12250,6,0,44
12300,5,5,40
12350,7,1,42
12400,9,2,39
12450,7,3,40
12500,9,2,39
12550,9,2,39
12600,6,0,44
12650,5,2,43
12700,5,2,43
12750,6,3,41
12800,2,5,43
12850,10,4,36
12900,8,1,41
12950,6,2,42
13000,6,4,40
13050,7,4,39
13100,9,2,39
13150,4,2,44
13200,6,2,42
13250,9,3,38
13300,5,4,41
13350,6,4,40
13400,4,3,43
13450,6,3,41
13500,3,2,45
13550,5,4,41
13600,9,3,38
13650,6,2,42
13700,9,2,39
13750,10,1,39
13800,7,0,43
13850,5,0,45
13900,3,5,42
13950,3,4,43
14000,10,4,36
14050,7,5,38
14100,11,2,37
14150,10,1,39
14200,7,1,42
14250,6,3,41
14300,9,1,40
14350,8,2,40
14400,9,4,37
14450,3,3,44
14500,8,3,39
14550,10,3,37
14600,8,1,41
14650,10,1,39
14700,6,3,41
14750,6,2,42
